site1	site2	value	metodo.x	edad.x	estructura.x	edad.metodo.x	estructura.metodo.x	Individuo.x	metodo.y	edad.y	estructura.y	edad.metodo.y	estructura.metodo.y	Individuo.y	condition1_group
Q1	Fe1	24	kit	joven	plasmodio	kit-joven	plasmodiokit	P3	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	fenol_vs_kit
Q2	Fe1	20	kit	viejo	plasmodio	kit-joven	plasmodiokit	P3	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	fenol_vs_kit
Q3	Fe1	24	kit	joven	plasmodio	kit-joven	plasmodiokit	P3	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	fenol_vs_kit
Q4	Fe1	16	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	fenol_vs_kit
Q5	Fe1	13	kit	joven	plasmodio	kit-joven	plasmodiokit	P4	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	fenol_vs_kit
Q6	Fe1	20	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	fenol_vs_kit
Q1	Fe2	21	kit	joven	plasmodio	kit-joven	plasmodiokit	P3	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P1	fenol_vs_kit
Q2	Fe2	29	kit	viejo	plasmodio	kit-joven	plasmodiokit	P3	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P1	fenol_vs_kit
Q3	Fe2	32	kit	joven	plasmodio	kit-joven	plasmodiokit	P3	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P1	fenol_vs_kit
Q4	Fe2	17	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P1	fenol_vs_kit
Q5	Fe2	14	kit	joven	plasmodio	kit-joven	plasmodiokit	P4	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P1	fenol_vs_kit
