"trabajo_citado","doi_citado","anio_citado","articulo_citante","anio_citante","doi_citante","clasificacion"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Root architecture and the rhizosphere microbiome: Shaping sustainable agriculture",2025,"https://doi.org/10.1016/j.plantsci.2025.112599","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Unveiling the influence of salinity on bacterial microbiome assembly of halophytes and crops",2024,"https://doi.org/10.1186/s40793-024-00592-3","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Long-term impact of tillage on microbial communities of an Eastern European Chernozem",2025,"https://doi.org/10.1038/s41598-024-84590-y","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Multiple Plant Growth–Promoting Activities Exhibited by Root‐Associated Bacteria Isolated From Bamboo and Corn",2025,"https://doi.org/10.1155/ijm/6374935","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Effects of grass cultivation on soil arbuscular mycorrhizal fungi community in a tangerine orchard",2022,"https://doi.org/10.1016/j.rhisph.2022.100583","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Abundance, classification and genetic potential of Thaumarchaeota in metagenomes of European agricultural soils: a meta-analysis",2023,"https://doi.org/10.1186/s40793-023-00479-9","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Analysis of microbial diversity and volatile metabolites across different types of pit mud in sauce-flavored Baijiu based on nanopore sequencing and metabolomics",2023,"https://doi.org/10.1016/j.lwt.2023.115465","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"The role of tillage practices in wheat straw decomposition and shaping the associated microbial communities in Endocalcaric– Epigleyic Cambisol soil",2024,"https://doi.org/10.1007/s00374-024-01879-w","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Early season soil microbiome best predicts wheat grain quality",2022,"https://doi.org/10.1093/femsec/fiac144","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Evaluation of functional plant growth-promoting activities of culturable rhizobacteria associated to tunicate maize (Zea mays var. tunicata A. St. Hil), a Mexican exotic landrace grown in traditional agroecosystems",2024,"https://doi.org/10.3389/fmicb.2024.1478807","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Cover crop monocultures and mixtures enhance bacterial abundance and functionality in the maize root zone",2024,"https://doi.org/10.1093/ismeco/ycae132","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Soil Bacterial Community and Greenhouse Gas Emissions as Responded to the Coupled Application of Nitrogen Fertilizer and Microbial Decomposing Inoculants in Wheat (Triticum aestivum L.) Seedling Stage under Different Water Regimes",2023,"https://doi.org/10.3390/agronomy13122950","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Microbial dynamics and dehydrogenase activity in tomato (Lycopersicon esculentum Mill.) rhizospheres: Impacts on growth and soil health across different soil types",2024,"https://doi.org/10.1515/chem-2023-0209","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Biotic stress alleviation: A sneak peek into the beneficial taxa in rhizosphere",2024,"https://doi.org/10.1016/j.bcab.2024.103427","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Legacy Effects of Cover Crop on Cash Crop Rhizosphere Microbiota in a No-Till Maize–Soybean Cropping System",2025,"https://doi.org/10.1094/pbiomes-09-24-0086-r","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Maize microbiome assembly and engineering: implications for nutrient acquisition, stress resilience, and disease suppression",2026,"https://doi.org/10.1080/03650340.2026.2679300","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Changes in Soil Quality through Conservation Agriculture in North-Eastern Italy",2022,"https://doi.org/10.3390/agriculture12071007","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Adaptive bacterial and fungal matching between a parasitic plant and its host: A case of Cistanche deserticola and Haloxylon ammodendron",2022,"https://doi.org/10.1016/j.indcrop.2022.115932","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Traditional potato tillage systems in the Peruvian Andes impact bacterial diversity, evenness, community composition, and functions in soil microbiomes",2024,"https://doi.org/10.1038/s41598-024-54652-2","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Non-target effects of pesticide and microbial seed treatments in maize and barley on the resident soil microbiota under conservation agriculture",2024,"https://doi.org/10.1016/j.ejsobi.2024.103653","B (coautor, no autor evaluado)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Microbiome Migration from Soil to Leaves in Maize and Rice",2025,"https://doi.org/10.3390/microorganisms13040947","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Effects of water volume of drip irrigation on soil bacterial communities and its association with soil properties in jujube cultivation",2024,"https://doi.org/10.3389/fmicb.2023.1321993","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Whole-Genome Analysis and Growth-Promoting Mechanism of Klebsiella pneumoniae YMK25 from Maize Rhizobacteria",2025,"https://doi.org/10.3390/plants14172738","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Effects of tillage practices in stover-return on endosphere and rhizosphere microbiomes",2025,"https://doi.org/10.1038/s44264-025-00099-5","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Multi-scale beta-diversity patterns in testate amoeba communities: species turnover and nestedness along a latitudinal gradient",2024,"https://doi.org/10.1007/s00442-024-05602-2","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Endobacteria Have a Negative Effect on the Virulence of Metarhizium",2025,"https://doi.org/10.3390/jof11110813","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Distinct prokaryotic and eukaryotic communities and networks in two agricultural fields of central Japan with different histories of maize–cabbage rotation",2023,"https://doi.org/10.1038/s41598-023-42291-y","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Impact of Maize Growth Stage on Soil Bacterial Communities and Functions in Dryland Under P Fertilization: a Comprehensive Analysis",2024,"https://doi.org/10.1007/s42729-024-01619-x","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Consistent prokaryotic community patterns along the radial root axis of two Zea mays L. landraces across two distinct field locations",2024,"https://doi.org/10.3389/fmicb.2024.1386476","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"“Reflexions on the role, diversity, conservation and management of the genetic microbial resources in Agriculture”",2025,"https://doi.org/10.1016/j.crmicr.2025.100365","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Alteração da biodiversidade microbiana do solo devido ao cultivo agrícola: uma revisão",2022,"https://doi.org/10.33448/rsd-v11i15.37168","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Biocontrol Mechanisms by Root-Associated Bacillus Species",2024,"https://doi.org/10.1007/978-981-97-8739-5_9","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Microbial biomass and enzymatic activity in the rhizosphere of prickly-pear cactus genotypes inoculated with Bacillus subtilis and Paenibacillus Sp",2025,"https://doi.org/10.1038/s41598-025-13708-7","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Early season soil microbiome best predicts wheat grain quality",2022,"https://doi.org/10.1101/2022.09.29.510160","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Genomic studies reveal molecular mechanims underlying plant–microbe interaction",2025,"https://doi.org/10.1016/b978-0-443-31554-1.00004-2","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Functional Characterization of Culturable Rhizobacteria From Mexican Maize Landrace Palomero Toluqueño ( Zea mays var. Everta )",2025,"https://doi.org/10.1002/jobm.70119","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Soil bacterial responses to experimental warming and drought across winter wheat growth stages in the North China Plain",2025,"https://doi.org/10.3389/fpls.2025.1637476","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Functional re-tooling of rhizosphere guilds is driven by agricultural management and scion genotype in apple",2026,"https://doi.org/10.21203/rs.3.rs-8562047/v1","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Draft Genome Sequence of Bacillus sp. Strain 11B20, a Promising Plant-Growth Promoting Bacterium Associated with Maize (Zea mays L.) in the Yaqui Valley, Mexico",2026,"https://doi.org/10.3390/microorganisms14020485","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Microbial community characterization in semi-hydroponic systems of Starbor kale (Brassica oleracea L.) grown under normal gravity and simulated microgravity",2026,"https://doi.org/10.1016/j.crmicr.2026.100592","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Taxonomic Restructuring of Rhizosphere Guilds is Driven By Agricultural Management and Scion Genotype in Apple",2026,"https://doi.org/10.1007/s00248-026-02774-7","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Nitrogen Application Under Integrated Water–Fertilizer Management Regulates Rhizosphere Nitrogen Dynamics, Microbial Communities, and Maize Productivity",2026,"https://doi.org/10.1007/s00248-026-02784-5","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Impact of growth stage and its phyllosphere microbiota on hydrogen production via consolidated bioprocessing from forage",2026,"https://doi.org/10.1016/j.indcrop.2026.123523","A y B (independiente)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Application of glyphosate or paraquat before the emergence of maize plants (Zea mays L.) had no detectable effect on the rhizosphere or endophyte bacterial community structure under the tested field conditions",2026,"https://doi.org/10.3389/fmicb.2026.1892064","B (coautor, no autor evaluado)"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices","https://doi.org/10.1128/spectrum.01834-21",2022,"Genotype-Specific Interactions Between Wheat and Rhizosphere Microbiome Under Drought Stress",2026,"https://doi.org/10.3390/plants15172626","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Gut Microbial Communities Are Seasonally Variable in Warm-Climate Lizards Hibernating in the Winter Months",2024,"https://doi.org/10.3390/microorganisms12101974","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Dietary preferences affect the gut microbiota of three snake species (Squamata: Colubridae)",2025,"https://doi.org/10.3389/fmicb.2025.1559646","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Elevated temperatures increase microbiome similarity between host and environment in a freshwater cnidarian",2026,"https://doi.org/10.1002/lno.70302","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Limited gut bacterial response of tuatara (Sphenodon punctatus) to dietary manipulation and captivity",2024,"https://doi.org/10.1093/femsec/fiae141","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Season, Body Condition and Developmental Stage Influence the Gut Microbiota of the Sole Living Rhynchocephalian Reptile (Sphenodon punctatus)",2025,"https://doi.org/10.1002/ece3.71068","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Interactions between host sex and seasonal changes shape the gut microbial communities of wild blue sheep (Pseudois nayaur)",2025,"https://doi.org/10.3389/fmicb.2025.1553622","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Gut Microbiota Provide Co‐Existing Strategies for Two Species of Symmetrically Distributed Rodents in Competition for Food",2025,"https://doi.org/10.1002/ece3.72290","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Characteristics and dynamic changes of gut microbiota in Mongolian horses and Guizhou horses",2025,"https://doi.org/10.3389/fmicb.2025.1582821","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Coping with extremes: diet and phylogeny shape gut microbiota in six passerine species inhabiting the Qinghai-Tibet Plateau",2025,"https://doi.org/10.1016/j.avrs.2025.100321","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Seasonal dietary shifts drive gut microbiome plasticity and metabolic adaptation in wild yaks on the Qinghai-Xizang Plateau",2025,"https://doi.org/10.1186/s12866-025-04530-2","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Shaped by Fire: Unravelling the Impact of Fire on Lizard Gut Microbiome",2026,"https://doi.org/10.1111/mec.70255","A y B (independiente)"
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards","https://doi.org/10.1111/mec.17426",2024,"Stage-dependent diet drives gut microbiome variations in the Chinese crocodile lizard (Shinisaurus crocodilurus)",2026,"https://doi.org/10.1016/j.gecco.2026.e04200","A y B (independiente)"
