"titulo","anio","doi","citas_totales","cita_A","cita_B","autocitas_propias","citas_openalex_reportadas"
"Bacterial Communities in the Rhizosphere at Different Growth Stages of Maize Cultivated in Soil Under Conventional and Conservation Agricultural Practices",2022,"https://doi.org/10.1128/spectrum.01834-21",45,43,45,0,51
"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards",2024,"https://doi.org/10.1111/mec.17426",18,18,18,0,18
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content",2021,"https://doi.org/10.1038/s41598-021-81551-7",27,22,27,0,28
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis",2021,"https://doi.org/10.3389/fmicb.2021.667566",24,23,24,0,24
"Comparative analysis of two nonlethal methods for the study of the gut bacterial communities in wild lizards",2023,"https://doi.org/10.1111/1749-4877.12711",14,9,14,0,14
"Maternal transmission of bacterial microbiota during embryonic development in a viviparous lizard",2023,"https://doi.org/10.1128/spectrum.01780-23",5,5,5,0,5
"Is Habitat More Important than Phylogenetic Relatedness for Elucidating the Gut Bacterial Composition in Sister Lizard Species?",2022,"https://doi.org/10.1264/jsme2.me21087",4,3,4,0,4
"Virulence Factors and Molecular Identification of Candida Species Causing Candidemia in Honduras",2025,"https://doi.org/10.3390/jof11070470",4,4,4,0,4
"Metagenomic analysis of fungal assemblages at a regional scale in high-altitude temperate forest soils: alternative methods to determine diversity, composition and environmental drivers",2025,"https://doi.org/10.7717/peerj.18323",8,8,8,0,8
"Potential Antidiabetic Activity of Apis mellifera Propolis Extraction Obtained with Ultrasound",2024,"https://doi.org/10.3390/foods13020348",7,6,7,0,7
"DNA metabarcoding reveals seasonal changes in diet composition across four arthropod‐eating lizard species (Phrynosomatidae: Sceloporus)",2023,"https://doi.org/10.1111/1749-4877.12755",6,4,6,0,6
"Composition, antioxidant activity and rheological characteristics of spreadable pastes with blackberry pulp (Rubus fruticosus)",2022,"https://doi.org/10.1007/s11694-022-01279-4",4,4,4,0,4
"Biodiversity between volcanoes: A multi-taxa analysis to identify priority conservation areas in a highly fragmented landscape of the Trans-Mexican Volcanic Belt",2025,"https://doi.org/10.1016/j.jnc.2025.126852",3,2,3,0,3
"Shifts in root-associated fungal communities under drought conditions in Ricinus communis",2023,"https://doi.org/10.1016/j.funeco.2023.101225",5,5,5,0,5
"Multi-species genetic patterns in a modified temperate forest from central Mexico",2025,"https://doi.org/10.1093/biolinnean/blaf012",1,1,1,0,1
"Comparison of Methods to Characterize the Microbiota of Myxomycete Plasmodia",2025,"https://doi.org/10.1111/jeu.70058",0,0,0,0,0
"Resistance of the Archaeal Community to a Severe Disturbance in an Extreme Alkaline Saline Soil",2026,"https://doi.org/10.1007/s00284-026-04895-1",0,0,0,0,0
"TOTAL",NA,NA,175,157,175,0,182
