SAMPLEID	Chao1	Shannon	Simpson	metodo	edad	estructura	edad.metodo	estructura.metodo	Individuo
Fe1	39.3333333333333	2.01951592301204	0.822285589563584	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1
Fe2	63.25	1.85209944321516	0.74530454474156	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P1
Fe3	47	2.346410009301	0.846887590128396	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1
Fe4	37	1.385348378678	0.618983468200416	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P2
Fe5	31	2.04228021427694	0.819763450849704	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P2
Fe6	36	1.92753555244221	0.768585048522011	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P2
Q1	38	2.40227523861712	0.86402287157897	kit	joven	plasmodio	kit-joven	plasmodiokit	P3
Q2	46	2.1482423787123	0.820829997460042	kit	viejo	plasmodio	kit-joven	plasmodiokit	P3
Q3	82	2.46175491029272	0.827617341866426	kit	joven	plasmodio	kit-joven	plasmodiokit	P3
Q4	39	1.68750286751136	0.715283031565389	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4
Q5	38.75	2.1216514270734	0.804389911595028	kit	joven	plasmodio	kit-joven	plasmodiokit	P4
Q6	43	2.1659412853965	0.830264686783146	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4
