sample-id	metodo	edad	estructura	edad-metodo	estructura-metodo	Individuo
Fe1	fenol	joven	plasmodio	fenol-joven	plasmodiofenol		P1
Fe2	fenol	joven	plasmodio	fenol-joven	plasmodiofenol		P2
Fe3	fenol	joven	plasmodio	fenol-joven	plasmodiofenol		P3
Fe4	fenol	joven	plasmodio	fenol-joven	plasmodiofenol		P4
Fe5	fenol	joven	plasmodio	fenol-joven	plasmodiofenol		P5
Fe6	fenol	joven	plasmodio	fenol-joven	plasmodiofenol		P6
Q1	kit	joven	plasmodio	kit-joven	plasmodiokit		P1
Q2	kit	joven	plasmodio	kit-joven	plasmodiokit		P2
Q3	kit	joven	plasmodio	kit-joven	plasmodiokit		P3
Q4	kit	joven	plasmodio	kit-joven	plasmodiokit		P4
Q5	kit	joven	plasmodio	kit-joven	plasmodiokit		P5
Q6	kit	joven	plasmodio	kit-joven	plasmodiokit		P6
F1col	PCRcolony	viejo	fruto	PCR-viejo	frutoPCRcolony		No
F3col	PCRcolony	viejo	fruto	PCR-viejo	frutoPCRcolony		No
P1col	PCRcolony	viejo	plasmodio	PCR-viejo	plasmodioPCRcolony		No
P1kit	kit	viejo	plasmodio	kit-viejo	plasmodiokit		No
P1ME	ME	viejo	plasmodio	ME-viejo	plasmodioME		No
P2col	PCRcolony	viejo	plasmodio	PCR-viejo	plasmodioPCRcolony		No
P2kit	kit	viejo	plasmodio	kit-viejo	plasmodiokit		No
P2ME	ME	viejo	plasmodio	ME-viejo	plasmodioME		No
P3_2	fenol	viejo	plasmodio	fenol-viejo	plasmodiofenol		No
P5col	PCRcolony	viejo	plasmodio	PCR-viejo	plasmodioPCRcolony		No
P5ME	ME	viejo	plasmodio	ME-viejo	plasmodioME		No
FeN	fenol	negativo	negativo	negativo	negativofenol		No
Negcol	PCRcolony	negativo	negativo	negativo	negativoPCRcolony		No
Negkit	kit	negativo	negativo	negativo	negativokit		No
NegME	ME	negativo	negativo	negativo	negativoME		No
