# Constructed from biom file
#OTU ID	Fe1	Fe2	Fe3	Fe4	Fe5	Fe6	Q1	Q2	Q3	Q4	Q5	Q6	taxonomy
66d99d16df45d32937ccae21bb0baae7	22456.0	101568.0	4894.0	0.0	7819.0	23041.0	13769.0	24255.0	18215.0	0.0	8571.0	31552.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Achromobacter
2e3e701defce8873e27c7f031dd7af43	3455.0	938.0	1130.0	7266.0	1481.0	2055.0	22649.0	677.0	74428.0	67719.0	31756.0	22677.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Ancylobacter
823c6bd06c1a4732d9a038f636983703	0.0	4258.0	10116.0	66234.0	0.0	0.0	0.0	0.0	11826.0	53437.0	0.0	751.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae
2d65c7701382958994fec19d84a8c8ef	12995.0	52625.0	2800.0	0.0	4495.0	13207.0	7120.0	12464.0	9406.0	0.0	4275.0	15988.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Alcaligenaceae
65810d0aeefa51935d4c06d2c1feb6df	0.0	35220.0	0.0	0.0	9892.0	162.0	0.0	25116.0	0.0	0.0	16070.0	245.0	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__Stenotrophomonas_nitritireducens
96ddc9e804c8cf6d1e0c7758b06d6614	6100.0	14247.0	5810.0	32143.0	956.0	3400.0	4100.0	1228.0	2854.0	8811.0	1164.0	6622.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia
543af78fc09b3a7326a6af75c910ade0	27048.0	3948.0	29069.0	0.0	490.0	2474.0	3998.0	138.0	1669.0	0.0	102.0	117.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__Brevundimonas_diminuta
9b96b7aa97e1d7c6f6b4298b022d375a	634.0	1050.0	13.0	91.0	0.0	126.0	10327.0	7571.0	4025.0	6242.0	1094.0	11002.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium
fd30eac0369242f740d2461871f2e3d1	14171.0	633.0	10178.0	0.0	40.0	6429.0	5312.0	163.0	1474.0	0.0	0.0	579.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus
480dd3310dc216a8884b7ce7633400dd	368.0	1786.0	31.0	57.0	61.0	99.0	4917.0	6421.0	15088.0	3803.0	2212.0	3441.0	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Microbacterium
c2819dee27b0f21e1c212fd6b66baf9a	18.0	5080.0	1956.0	455.0	257.0	149.0	21.0	1176.0	10915.0	279.0	146.0	170.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aminobacter
11a314c22a2d79dddadce092b6afa942	586.0	2886.0	956.0	2203.0	175.0	480.0	1343.0	1337.0	10656.0	2427.0	304.0	535.0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Kaistiaceae; g__Kaistia; s__uncultured_bacterium
ce36a73eefb73977b88fa293c0993b04	0.0	4384.0	16587.0	0.0	0.0	0.0	0.0	2631.0	3470.0	0.0	0.0	0.0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Hymenobacter; s__Parahymenobacter_ocellatus
6ada3b08bdbf4da843b19f7af33a0931	0.0	0.0	0.0	0.0	10530.0	0.0	0.0	0.0	0.0	0.0	7035.0	0.0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus
