taxonomy	fenol	kit	Ratio	Dominant	MeanAbund	SignedRatio	RatioCategory
Achromobacter	0.461459689988117	0.299447727678925	0.541035871485741	fenol	38.0453708833521	-0.541035871485741	Neutral
Acinetobacter	0.000108603722822639	3.44762635130135e-05	2.15010130902513	fenol	0.00715399931678264	-2.15010130902513	fenol
Agromyces	0	0.000319398361979343	Inf	kit	0.0159699180989672	Inf	kit
Alkanindiges	1.23700570454204e-05	0	Inf	fenol	0.000618502852271019	-Inf	fenol
Bacillus	0.000558067819623275	0.00315782834441025	4.65850284386931	kit	0.185794808201676	4.65850284386931	kit
Bosea	0.00473500150610922	0.0105772884144838	1.23385111933685	kit	0.765614496029649	1.23385111933685	kit
Bradyrhizobium	0.000858774597349337	0.00183511773553283	1.13690267643808	kit	0.134694616644108	1.13690267643808	kit
Brevibacillus	0.00112613870832767	0.000187631095384833	5.00187674659123	fenol	0.0656884901856252	-5.00187674659123	fenol
Brevibacterium	1.526886674299e-05	0	Inf	fenol	0.000763443337149501	-Inf	fenol
Brevundimonas	0.111805108508243	0.00999422668452817	10.1869694412001	fenol	6.08996675963857	-10.1869694412001	fenol
Cellulomonas	3.46464331497072e-05	0	Inf	fenol	0.00173232165748536	-Inf	fenol
Cellulosimicrobium	0	0.000362300775940428	Inf	kit	0.0181150387970214	Inf	kit
Chelatococcus	0.000478606679064055	0.00367193864297264	6.67214249945978	kit	0.207527266101835	6.67214249945978	kit
Conexibacter	0	0.000128783376737157	Inf	kit	0.00643916883685787	Inf	kit
Corynebacterium	5.14207554737394e-06	3.36353790370864e-06	0.528769912687557	fenol	0.000425280672554129	-0.528769912687557	Neutral
Devosia	0.0904851055323884	0.0345444809633688	1.61937950749179	fenol	6.25147932478786	-1.61937950749179	fenol
ELB16-189	5.7532764909616e-06	0	Inf	fenol	0.00028766382454808	-Inf	fenol
Faecousia	0	5.88619133149011e-06	Inf	kit	0.000294309566574506	Inf	kit
Flavobacterium	0.000108057516766509	0	Inf	fenol	0.00540287583832543	-Inf	fenol
Kaistella	9.7099229864394e-06	0	Inf	fenol	0.00048549614932197	-Inf	fenol
Kaistia	0.00982174633882082	0.0179491972370413	0.827495500071757	kit	1.38854717879311	0.827495500071757	Neutral
Mesorhizobium	3.05932872765299e-05	0.000124519794776714	3.07016721188512	kit	0.00775565410266221	3.07016721188512	kit
Methylobacterium	0.000461538467506675	0.002079359491534	3.50527884006533	kit	0.127044897952034	3.50527884006533	kit
Microbacterium	0.00200691142222413	0.020749432380691	9.33898763588465	kit	1.13781719014576	9.33898763588465	kit
Mycobacterium	0.00360253425082194	0.0951870087079961	25.4222355932573	kit	4.9394771479409	25.4222355932573	kit
Nanosyncoccus	0	5.04530685556295e-06	Inf	kit	0.000252265342778148	Inf	kit
Niallia	0	0.000270764801248545	Inf	kit	0.0135382400624273	Inf	kit
Paenibacillus	0.0899308163852866	0.0184929154783024	3.86298747705853	fenol	5.42118659317945	-3.86298747705853	fenol
Pantoea	0.0170004889425399	0.00375022001020015	3.53319775807836	fenol	1.037535447637	-3.53319775807836	fenol
Psychrobacter	1.390603967115e-06	0	Inf	fenol	6.95301983557499e-05	-Inf	fenol
Ralstonia	2.06582770714201e-05	1.00906137111259e-05	1.04727657433187	fenol	0.0015374445391273	-1.04727657433187	fenol
Serratia	7.64832181913249e-06	0	Inf	fenol	0.000382416090956624	-Inf	fenol
Solirubrum	0.0326673945429808	0.00772140085011283	3.23076008837224	fenol	2.01943976965468	-3.23076008837224	fenol
Sphingobacterium	1.1097054841645e-05	0	Inf	fenol	0.000554852742082251	-Inf	fenol
Sporosarcina	9.7099229864394e-06	0	Inf	fenol	0.00048549614932197	-Inf	fenol
Stenotrophomonas	0.0675364815690055	0.07963465114331	0.17913532498644	kit	7.35855663561578	0.17913532498644	Neutral
Streptococcus	1.41784421572649e-05	7.07538111034967e-06	1.00391214778877	fenol	0.00106269116338073	-1.00391214778877	fenol
UBA1930	8.32626324314314e-06	0	Inf	fenol	0.000416313162157157	-Inf	fenol
Unclassified	2.0859059506725e-06	6.2991253269183e-05	29.1985107472725	kit	0.00325385796099278	29.1985107472725	kit
Undibacterium	0	6.97934115019542e-05	Inf	kit	0.00348967057509771	Inf	kit
other Alphaproteobacteria	4.12335234847346e-06	7.4608748199004e-05	17.0941966375067	kit	0.00393660502737387	17.0941966375067	kit
other Bacilli	4.16139556561689e-06	1.55923517257835e-05	2.74690448911268	kit	0.000987687364570019	2.74690448911268	kit
other Bacteroidaceae	0	5.05384365024976e-06	Inf	kit	0.000252692182512488	Inf	kit
other Caulobacteraceae	3.47650991778749e-06	0	Inf	fenol	0.000173825495889375	-Inf	fenol
other DSM-18226	0.00296657952615771	0.0188548288797883	5.35574698521867	kit	1.0910704202973	5.35574698521867	kit
other Enterobacteriaceae	0.00339949400488738	0.000450714079096957	6.54246242251529	fenol	0.192510404199217	-6.54246242251529	fenol
other Flavobacteriaceae	2.91436574069557e-05	0	Inf	fenol	0.00145718287034778	-Inf	fenol
other Flavobacteriales	1.390603967115e-06	0	Inf	fenol	6.95301983557499e-05	-Inf	fenol
other Lachnospiraceae	2.78120793422999e-06	0	Inf	fenol	0.0001390603967115	-Inf	fenol
other Lactobacillales	2.0859059506725e-06	0	Inf	fenol	0.000104295297533625	-Inf	fenol
other Microbacteriaceae	0.00329003669748965	0.0555733966470105	15.8914215119284	kit	2.94317166722501	15.8914215119284	kit
other Muribaculaceae	0	6.72707580741727e-06	Inf	kit	0.000336353790370864	Inf	kit
other Neisseriaceae	0	3.36353790370864e-06	Inf	kit	0.000168176895185432	Inf	kit
other Paenibacillaceae	0.0552451282051282	0.0173338756221796	2.18711922303395	fenol	3.62895019136539	-2.18711922303395	fenol
other Pasteurellaceae	1.51788918610657e-05	0	Inf	fenol	0.000758944593053285	-Inf	fenol
other Rhizobiaceae	0.00940912619096614	0.0130408021873712	0.385973779360288	kit	1.12249641891687	0.385973779360288	Neutral
other UBA660	0	4.2044223796358e-06	Inf	kit	0.00021022111898179	Inf	kit
other Xanthobacteraceae	0.0306876486411446	0.284213578058164	8.26149739856912	kit	15.7450613349654	8.26149739856912	kit
other Xanthomonadaceae	0	3.8340618050763e-05	Inf	kit	0.00191703090253815	Inf	kit
