taxonomy	Fe1	Fe2	Fe3	Fe4	Fe5	Fe6	Q1	Q2	Q3	Q4	Q5	Q6
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium	0.00308524532842437	0	0	0	0	0	0	0	0.00201838751021809	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium	0.732231557946049	0.664577953366903	0.0696393306309115	0.133996937212864	0.064	0.497083088819082	14.164947716081	11.2633781370841	5.06514345689229	5.48301605302897	6.64574981116728	14.4906344858222
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Brevibacteriaceae; g__Brevibacterium	0	0.00250311846842525	0	0.00665823290498702	0	0	0	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Cellulomonadaceae; g__Cellulomonas	0	0	0.0207878598898243	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae	0.0431934345979411	0.0529826742483344	0	0.030794327185565	0	0.0742172667334047	1.02183166605063	0.392169750347804	0.131195188164176	0.150402387031433	0	0.651514029762345
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Agromyces	0	0	0	0	0	0	0.0238467133267357	0.0208134783704142	0.0156425032041902	0	0.0859915170530475	0.0453468571851633
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Microbacterium	0.433991176198361	0.837710314099649	0.114333229394034	0.682468872761169	0.654769230769231	0.253719493251407	6.51372974519787	7.71632324427356	8.40406099567056	10.7464931378911	6.69106966474929	3.37602724513215
d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Promicromonosporaceae; g__Cellulosimicrobium	0	0	0	0	0	0	0	0	0.194269797858491	0	0	0.0231361516250833
d__Bacteria; p__Actinobacteriota; c__Thermoleophilia; o__Solirubrobacterales; f__Solirubrobacteraceae; g__Conexibacter	0	0	0	0	0	0	0	0	0.0317896032859349	0.0454845928522478	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__Muribaculaceae	0	0	0	0	0	0	0	0	0.00403677502043617	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Alloprevotella	0	0	0	0	0	0	0	0	0	0.00303230619014986	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Sediminibacterium	0	0.000834372822808415	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__uncultured	0	0	0	0.00416139556561688	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Hymenobacteraceae; g__Hymenobacter	0	1.88192790184438	17.7185323770918	0	0	0	0	2.88211903118735	1.75095116511419	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Microscillaceae; g__OLB12	0	0	0	0	0	0.00345196589457696	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae	0	0.000834372822808415	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium	0	0	0.00207878598898243	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Myroides	0	0	0	0.0299620480724416	0	0.0327936759984811	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__uncultured	0	0.00333749129123366	0	0.0141487449230974	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Weeksellaceae; g__Chryseobacterium	0	0	0	0.00582595379186364	0	0	0	0	0	0	0	0
d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium	0	0	0	0.00665823290498702	0	0	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales	0	0	0	0	0	0	0.00834634966435751	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae	0	0	0	0	0	0	0	0	0.00100919375510904	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus	0.0647901518969117	0	0.179814988046981	0	1.04861538461538	0.821567882909317	1.02898568004865	0.0065726773801308	5.87754442975507	0.00667107361832968	0.512462959735053	5.93858739912638
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Pseudogracilibacillus	0	0	0	0.00249683733937013	0	0	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Sporosarcina	0	0	0	0.00582595379186364	0	0	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Brevibacillales; f__Brevibacillaceae; g__Brevibacillus	0	0	0.24737553268891	0	0.428307692307692	0	0	0	0.0277528282654987	0	0.0848294695253036	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	0	0.00125155923421262	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0	0	0	0.00332911645249351	0	0.00517794884186544	0	0	0	0.0042452286662098	0	0
d__Bacteria; p__Firmicutes; c__Bacilli; o__Paenibacillales; f__Paenibacillaceae; g__Paenibacillus	19.5357734195831	0.365455296390086	14.1887537677996	0	33.4498461538462	19.5657426904622	8.97947990318234	0.246475401754905	1.1439211214161	0	10.4026494683633	0.723698822832605
d__Bacteria; p__Firmicutes; c__Bacilli; o__RF39; f__RF39; g__RF39	0	0	0	0	0	0	0	0	0.00252298438777261	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae	0	0.00166874564561683	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-005	0	0	0	0	0	0	0	0	0.00353217814288165	0	0	0
d__Bacteria; p__Patescibacteria; c__Saccharimonadia; o__Saccharimonadales; f__Saccharimonadaceae; g__Candidatus_Saccharimonas	0	0	0	0	0	0	0	0	0.00302758126532713	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas	28.7904809897467	1.64705195222381	31.1693171188026	0	1.20615384615385	4.2700818115917	4.77888135067784	0.151171579743008	0.842172188638497	0	0.118528847829876	0.10827718960539
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__uncultured	0	0.00208593205702104	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	0.00205683021894958	0	0	0	0	0	0	0	0.0423861377145798	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Beijerinckiaceae	0.033937698612668	0.134334024472155	0.0291030038457541	0.0690791663892403	0	0.0207117953674618	0.403009455221834	0.580586501911554	0.733683859964275	0.20073866978792	0.0964499448027424	0.18879099726068
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Bosea	0.420621779775188	0.716726254792429	0.437584450680802	0.499367467874026	0.509538461538461	0.257171459145984	1.39145572261503	1.48652053413958	1.82058553421671	0.374793045102522	0.940096449944803	0.333160583401199
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium-Methylorubrum	0	0.250311846842525	0.00935453695042095	0	0	0.0172598294728848	0	1.05601016574101	0.0898182442047049	0	0	0.101799067150366
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae	0	0.000417186411404208	0	0	0	0	0	0	0	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia	6.27641741312463	6.09634502984969	6.03887329799397	27.624176043678	2.368	5.88732783320101	4.88857623198083	1.34520797046677	1.44011948854061	5.50970034750229	1.3770263203765	6.1662471311172
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Kaistiaceae; g__Kaistia	0.602651254152226	1.20399998331254	0.993659702733604	1.8335108862108	0.430769230769231	0.828471814698471	1.60130679989031	1.46461160953915	5.38404868350675	1.47188142469874	0.353262448434141	0.495113644776782
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aminobacter	0.0185114719705462	2.28492997526085	2.07358902400998	0.378686996471137	0.632615384615385	0.257171459145984	0.0250390489930725	1.48652053413958	5.81749740132608	0.169202685410362	0.169658939050607	0.157325831050566
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Mesorhizobium	0	0.0183562021017851	0	0	0	0	0	0.0197180321403924	0.0550010596534429	0	0	0
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae	0.07301747277271	0.0133499651649346	0.421993555763434	0	0	0.00690393178915392	0.016692699328715	0.027386155750545	1.05713045847672	0	0	0
