Feature ID	Taxon	Consensus
00599b5feb4c3097e3bcb07025ba584f	d__Eukaryota; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__Mrakiaceae	0.9
0147e304b1ce1be9c4ff15b660605ef2	d__Eukaryota; p__Ascomycota; c__Sordariomycetes	1.0
025cc12c45f08759ad2f2d978c919102	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes; o__Rhizophydiales; f__uncultured; g__uncultured	0.6
02740ae3a4ea9fdd9a5ea1b7df474c70	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Ophiostomatales; f__Ophiostomataceae; g__Ophiostoma; s__Ophiostoma_retusum	1.0
03a5734a0238d2dd21a9cadf8f5e2361	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Magnoliophyta; s__Ziziphus_jujuba	0.7
03b493a19dcde263a994cf581b7ea535	d__Eukaryota; p__Mucoromycota; c__Glomeromycetes	0.8
05151f7de1d33eda2a57b94625296b48	d__Eukaryota; p__Bicosoecida	1.0
0727f17e093bdf834bd01a2078e53134	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Colpodea	1.0
093e3cae0a6c37d62240eba5232ad3c2	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae	0.9
09fc419529d717f515e83ab982057439	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella	0.8
0aabd7b65bfa0a8ea850f17fc96175b9	d__Eukaryota; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae	0.6
0ae5c03a32bb331412915c9ecda15d25	d__Eukaryota; p__Bicosoecida	1.0
0b062c9663837577b0c90dd32e075a26	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Plectosphaerellaceae	1.0
0db38704c1763fc9f15f151fc3496b84	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Colpodea	1.0
0e2aeb75bb15785180360ad933fd0013	d__Eukaryota; p__Aphelidea; c__Aphelidea; o__Aphelidea; f__Aphelidea; g__uncultured; s__uncultured_fungus	1.0
11764ea0237078dddc9450bbac6ba9c4	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes	1.0
1431b4a7a8a7cdf647161fccda234828	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Colpodea	1.0
163a0d88a1fe2052b1d944ed95303e68	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus	1.0
164e0278bf21725ac83b31854fac3ae8	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae_Sedis	0.6
184eb7403758a531943a26fdfc9ca29c	d__Eukaryota; p__Amoebozoa; c__Discosea; o__Centramoebida; f__Centramoebida; g__Acanthamoeba; s__Acanthamoeba_sp.	0.6
18b4e7bdf5bf83bc50b9802b6b8526fd	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae; o__Ochromonadales; f__Ochromonadales; g__Ochromonas	0.6
1b56e42e101f94cc7e06c88f2deca6bc	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Ophiocordycipitaceae	0.6
1b6fab74820fcd7bc9db12ad102478c2	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes	1.0
1c7942e89b18b6d8f68b1d516b8b4691	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium	0.9
1cb4797b60a77a269319653aeeac8b3b	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mucorales; f__Rhizopodaceae; g__Rhizopus	0.7
1d9fc82bfd6d0bf19ed9d77ae08b4920	d__Eukaryota; p__Ochrophyta; c__Chrysophyceae; o__Ochromonadales; f__Ochromonadales; g__Ochromonas	0.6
1db96e3e66ec1535d586d1a3a954cb66	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mucorales; f__Mucoraceae; g__Mucor	0.8
1de94359e6c03b7ec33fb3f548bc3827	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Colpodea	0.9
216a2c6d2482165e1e524d429635391b	d__Eukaryota; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__uncultured; g__uncultured	0.6
21ae60be41315ee6b372c803cfe72482	d__Eukaryota; p__Phragmoplastophyta; c__Embryophyta; o__Magnoliophyta; f__Magnoliophyta; g__Magnoliophyta; s__Ziziphus_jujuba	0.7
2292ab04c7ac4c63b3f8bb6cdf2e58ad	d__Eukaryota; p__Ascomycota; c__Pezizomycetes; o__Pezizales	1.0
237f96ecb63793ccf5e5f673e7a6ebd4	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Penicillium	0.8
26ea359fc101f6d6cf556542385910f3	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes	0.9
294733674f46dd5d6243d1204f697fb1	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Hypotrichia; g__Hypotrichia	0.9
2ec6c34643b560bcd4b2a8e5096ac0c9	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella	0.7
2ff8fc05703128f5bded5dde5663e209	d__Eukaryota; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae	0.7
310cada4528728156da04b7ef3a1db19	d__Eukaryota; p__Arthropoda; c__Ellipura; o__Collembola; f__Collembola; g__Collembola	1.0
3284493ed66509dd922b46b2c01b3390	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Pleosporales	0.8
33901d935ca8e854ea8bc07ac37e0e68	d__Eukaryota; p__Incertae_Sedis; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Ischnamoeba; s__Ischnamoeba_sp.	1.0
